Feature,Importance
num__tenure,0.3381483371494689
cat__InternetService_Fiber optic,0.1966551776521016
num__TotalCharges,0.07655066724998445
cat__PaymentMethod_Electronic check,0.067027963497211
num__MonthlyCharges,0.0659438013442604
cat__Contract_Two year,0.05964572562787507
cat__Contract_One year,0.05804168133266964
cat__OnlineSecurity_Yes,0.017329954761583815
cat__TechSupport_Yes,0.015539358867550647
cat__PaperlessBilling_Yes,0.014020779294466365
num__SeniorCitizen,0.013332601848172847
cat__MultipleLines_Yes,0.008205382788717039
cat__InternetService_No,0.007274765421241892
cat__OnlineBackup_No internet service,0.006907428304267645
cat__StreamingMovies_Yes,0.006616404257107766
cat__StreamingTV_Yes,0.0062919694534331935
cat__DeviceProtection_No internet service,0.004868658764772901
cat__gender_Male,0.004648422866829975
cat__Dependents_Yes,0.004558782399033076
cat__MultipleLines_No phone service,0.004246917219570921
